frame,u,v
0,0.25703750063387354,0.11009183010640237
0,0.9518508022834399,0.7888642401627131
0,0.10255728778575982,0.5890198902080265
1,0.30283875376141905,0.09265123151527686
1,0.9039640370937957,0.7761622853656234
1,0.10202039342524308,0.5400352822952565
2,0.3500754381075036,0.07405324648312829
2,0.8542858658141181,0.7629617906655819
2,0.10249924356892133,0.48946552714956426
3,0.3969205235206793,0.05629278077608472
3,0.8063061679896812,0.7510980073309088
3,0.10060416416531147,0.43898149760315713
4,0.4443087822098841,0.0401648649868528
4,0.7581607254496713,0.7378888078713425
4,0.10088978903158446,0.39003566765396097
5,0.490248522653574,0.021147405301086025
5,0.7097308831773144,0.7265478419466862
5,0.09959711663456372,0.34001635505429306
6,0.5377801901858513,0.005082111369136692
6,0.660588263663759,0.7147082122733032
6,0.0989833583446832,0.289387522051701
7,0.6124797875487169,0.7021563214874919
7,0.09975106643788886,0.23921323027969935
8,0.5638805816271998,0.6891944404910443
8,0.09922027871078108,0.18963261039473084
9,0.5152550693161814,0.6774990994514121
9,0.09760742631764698,0.14014536218949394
10,0.4664277312131484,0.6650000265604751
10,0.09700317708938579,0.09027375783156845
